year,cath_change,share_treated
0,0,0
1,2.9000000000000006e-4,0.05
2,6.815000000000001e-4,0.1
3,0.0011085250000000002,0.15000000000000002
4,0.0015479837500000002,0.2
5,0.0019917943125,0.25
6,0.002437128009375,0.3
7,0.0028829948032812504,0.35
8,0.0033290481811484376,0.39999999999999997
9,0.003775166863401953,0.44999999999999996
10,0.0042213084021906835,0.49999999999999994
11,0.004667457940766739,0.5499999999999999
12,0.005113610279268359,0.6
13,0.005559763597743926,0.65
14,0.006005917259210375,0.7000000000000001
15,0.006452071040723631,0.7500000000000001
16,0.006898224864253271,0.8000000000000002
17,0.007344378702488646,0.8500000000000002
18,0.007790532545871027,0.9000000000000002
19,0.008236686391054862,0.9500000000000003
20,0.008682840236869202,1
21,0.008838994082904221,1
22,0.008893647929016478,1
23,0.008912776775155767,1
24,0.008919471871304518,1
25,0.008921815154956582,1
26,0.008922635304234804,1
27,0.008922922356482182,1
28,0.008923022824768765,1
29,0.008923057988669068,1
30,0.008923070296034175,1
31,0.008923074603611962,1
32,0.008923076111264187,1
33,0.008923076638942467,1
34,0.008923076823629864,1
35,0.008923076888270452,1
36,0.008923076910894659,1
37,0.008923076918813132,1
38,0.008923076921584595,1
39,0.008923076922554608,1
40,0.008923076922894114,1
41,0.00892307692301294,1
42,0.008923076923054529,1
43,0.008923076923069085,1
44,0.00892307692307418,1
45,0.008923076923075963,1
46,0.008923076923076588,1
47,0.008923076923076806,1
48,0.008923076923076883,1
49,0.008923076923076909,1
50,0.008923076923076919,1
51,0.008923076923076922,1
52,0.008923076923076922,1
53,0.008923076923076922,1
54,0.008923076923076922,1
55,0.008923076923076922,1
56,0.008923076923076922,1
57,0.008923076923076922,1
58,0.008923076923076922,1
59,0.008923076923076922,1
60,0.008923076923076922,1
