term,estimate,std.error,statistic,p.value,event_time,direction,lo95,hi95
et::-3:delta_dest,-0.18905053111247724,0.17743729861957463,-1.0654497818849316,0.28752633487023066,-3,Up-mover (Δ > 0),-0.5368276364068435,0.15872657418188904
et::-2:delta_dest,-0.0399565417290914,0.1405252564362168,-0.2843370846096077,0.7763475763918516,-2,Up-mover (Δ > 0),-0.31538604434407636,0.23547296088589353
et::-1:delta_dest,0,0,0,1,-1,Up-mover (Δ > 0),0,0
et::0:delta_dest,0.4540001330167061,0.14395278327795671,3.153812817499212,0.0017742789720613496,0,Up-mover (Δ > 0),0.17185267779191093,0.7361475882415013
et::1:delta_dest,0.4735143963938774,0.1776462197648589,2.665490979884874,0.008102605860451273,1,Up-mover (Δ > 0),0.12532780565475393,0.8217009871330008
et::2:delta_dest,0.208418975431404,0.1854245314646898,1.1240097185905147,0.26190450974721263,2,Up-mover (Δ > 0),-0.155013106239388,0.571851057102196
et::3:delta_dest,0.42381784066683714,0.2398229469549056,1.767211378427972,0.07820609869428023,3,Up-mover (Δ > 0),-0.04623513536477786,0.8938708166984521
et::4:delta_dest,0.8395906670076916,0.27375934251523054,3.066893203693975,0.0023594171121940934,4,Up-mover (Δ > 0),0.30302235567783975,1.3761589783375434
et::5:delta_dest,0.8307109197670584,0.3337053264252879,2.489354691055683,0.013337411013436915,5,Up-mover (Δ > 0),0.1766484799734941,1.4847733595606227
et::-3:delta_dest,0.22626592183976527,0.2224425062607124,1.017188331687702,0.3099205578039802,-3,Down-mover (Δ < 0),-0.20972139043123103,0.6622532341107615
et::-2:delta_dest,-0.17624762384570358,0.19986416950176056,-0.881837021038186,0.37860289165409144,-2,Down-mover (Δ < 0),-0.5679813960691542,0.2154861483777471
et::-1:delta_dest,0,0,0,1,-1,Down-mover (Δ < 0),0,0
et::0:delta_dest,0.5042072356825495,0.1507181189150501,3.3453657683104314,9.311334749198588e-4,0,Down-mover (Δ < 0),0.20879972260905133,0.7996147487560478
et::1:delta_dest,0.29205706710860235,0.2034046155144482,1.4358428709689581,0.15213607115863467,1,Down-mover (Δ < 0),-0.10661597929971611,0.6907301135169208
et::2:delta_dest,0.32979118637857835,0.24901035267834482,1.324407530977561,0.18642142241644497,2,Down-mover (Δ < 0),-0.1582691048709775,0.8178514776281343
et::3:delta_dest,0.1696270698874603,0.2475044074645494,0.6853496938706287,0.49367645529632476,3,Down-mover (Δ < 0),-0.31548156874305655,0.6547357085179771
et::4:delta_dest,0.12150667030490592,0.32480958880361466,0.3740858475036305,0.7086166652299276,4,Down-mover (Δ < 0),-0.5151201237501788,0.7581334643599906
et::5:delta_dest,0.15593254506825976,0.3551538921361519,0.43905627538070574,0.6609511243837177,5,Down-mover (Δ < 0),-0.5401690835185979,0.8520341736551174
