term,estimate,std.error,statistic,p.value,event_time,lo95,hi95
et::-3:delta_dest,0.06276896283614988,0.13600737981436797,0.46151144828921187,0.6446020997888555,-3,-0.20380550160001135,0.32934342727231114
et::-2:delta_dest,-0.030990228066631126,0.11347380046696348,-0.2731046985216077,0.7848684635914307,-2,-0.2533988769818796,0.1914184208486173
et::-1:delta_dest,0,0,0,1,-1,0,0
et::0:delta_dest,0.442501785244623,0.09716054552116563,4.554336154362448,6.389381726617895e-6,0,0.2520671160231384,0.6329364544661076
et::1:delta_dest,0.3120063267898307,0.11387751916851534,2.7398412704102326,0.006333172795389697,1,0.08880638921954065,0.5352062643601208
et::2:delta_dest,0.18406884303306462,0.12907337073017539,1.426079151662165,0.15437527819384542,2,-0.06891496359807911,0.4370526496642083
et::3:delta_dest,0.20230562285624404,0.1284726309455054,1.5746982167902872,0.1158630695370648,3,-0.04950073379694653,0.4541119795094346
et::4:delta_dest,0.37543483723147164,0.13857912257515084,2.7091731442293914,0.006941352838324201,4,0.103819756984176,0.6470499174787673
et::5:delta_dest,0.3758966676405162,0.16256264415795077,2.312318857678543,0.021104010682416883,5,0.05727388509093273,0.6945194501900998
