year,lo,hi,anchor
0,0,0,0
1,0.009750000000000002,0.022750000000000003,0.016250000000000004
2,0.022912500000000006,0.05346250000000002,0.03818750000000001
3,0.03726937500000001,0.08696187500000002,0.062115625000000015
4,0.05204428125000001,0.12143665625000002,0.08674046875000002
5,0.0669654984375,0.1562528296875,0.11160916406250002
6,0.08193792445312502,0.19118849039062502,0.13656320742187503
7,0.09692827355859376,0.22616597163671875,0.16154712259765627
8,0.11192489574550782,0.26115809007285157,0.1865414929091797
9,0.12692371351092774,0.29615533152549806,0.2115395225182129
10,0.14192329972882473,0.33115436603392434,0.23653883288137453
11,0.15692315490508865,0.3661540281118735,0.2615385915084811
12,0.17192310421678103,0.4011539098391557,0.2865385070279684
13,0.18692308647587338,0.4361538684437045,0.31153847745978896
14,0.20192308026655573,0.4711538539552967,0.3365384671109262
15,0.2169230780932945,0.5061538488843538,0.3615384634888242
16,0.2319230773326531,0.5411538471095239,0.3865384622210885
17,0.2469230770664286,0.5761538464883333,0.411538461777381
18,0.26192307697325007,0.6111538462709168,0.4365384616220835
19,0.2769230769406376,0.6461538461948211,0.4615384615677294
20,0.2919230769292232,0.6811538461681874,0.48653846154870534
21,0.29717307692522815,0.6934038461588656,0.4952884615420469
22,0.2990105769238299,0.697691346155603,0.4983509615397165
23,0.29965370192334045,0.699191971154461,0.49942283653890074
24,0.29987879567316916,0.6997171899040613,0.49979799278861525
25,0.2999575784856092,0.6999010164664216,0.4999292974760154
26,0.29998515246996327,0.6999653557632476,0.4999752541166054
27,0.29999480336448714,0.6999878745171366,0.49999133894081194
28,0.29999818117757054,0.699995756080998,0.4999969686292843
29,0.2999993634121497,0.6999985146283494,0.49999893902024956
30,0.2999997771942524,0.6999994801199223,0.4999996286570874
31,0.29999992201798836,0.6999998180419729,0.49999987002998064
32,0.29999997270629597,0.6999999363146906,0.4999999545104933
33,0.29999999044720366,0.6999999777101418,0.49999998407867274
34,0.2999999966565213,0.6999999921985497,0.4999999944275355
35,0.29999999882978245,0.6999999972694924,0.49999999804963746
36,0.2999999995904239,0.6999999990443224,0.49999999931737316
37,0.2999999998566484,0.6999999996655129,0.49999999976108067
38,0.2999999999498269,0.6999999998829295,0.4999999999163782
39,0.2999999999824394,0.6999999999590253,0.49999999997073236
40,0.29999999999385385,0.699999999985659,0.4999999999897564
41,0.2999999999978489,0.6999999999949807,0.4999999999964148
42,0.2999999999992471,0.6999999999982432,0.49999999999874517
43,0.2999999999997365,0.6999999999993851,0.49999999999956085
44,0.2999999999999078,0.6999999999997848,0.49999999999984635
45,0.29999999999996774,0.6999999999999247,0.49999999999994627
46,0.2999999999999887,0.6999999999999736,0.49999999999998124
47,0.2999999999999961,0.6999999999999909,0.4999999999999935
48,0.29999999999999866,0.6999999999999968,0.4999999999999978
49,0.29999999999999954,0.6999999999999988,0.4999999999999992
50,0.2999999999999999,0.6999999999999996,0.4999999999999998
51,0.3,0.7,0.5
52,0.3,0.7,0.5
53,0.3,0.7,0.5
54,0.3,0.7,0.5
55,0.3,0.7,0.5
56,0.3,0.7,0.5
57,0.3,0.7,0.5
58,0.3,0.7,0.5
59,0.3,0.7,0.5
60,0.3,0.7,0.5
